Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
Preparing frames for constructing fringe PCs, using images in base_images.dat
Elapsed time for initialising was 0.407357931137 seconds
Median residual, sigma, fmask, fsat, background ( Skymapper_0805310724_2014-05-21T21:39:49_17_red ): -2.49389648438 42.3084449651 0.216168642044 0.00178527832031 1750.41357422
Median residual, sigma, fmask, fsat, background ( Skymapper_0805310750_2014-05-21T23:58:47_17_red ): -1.31811523438 39.5454116029 0.245584130287 0.00174164772034 1723.94689941
Median residual, sigma, fmask, fsat, background ( Skymapper_0805311237_2014-05-21T21:45:08_17_red ): -2.2294921875 43.3112526149 0.2155636549 0.00172972679138 1878.5546875
Median residual, sigma, fmask, fsat, background ( Skymapper_0805311263_2014-05-22T00:04:08_17_red ): 0.0186767578125 40.1253559506 0.274093747139 0.0018059015274 1768.26318359
Median residual, sigma, fmask, fsat, background ( Skymapper_0805311750_2014-05-21T21:50:29_17_red ): -2.06787109375 46.8284233138 0.239223003387 0.00174653530121 2103.14599609
Median residual, sigma, fmask, fsat, background ( Skymapper_0805311776_2014-05-22T00:09:28_17_red ): -1.28466796875 40.796747779 0.259501814842 0.00196099281311 1835.69604492
Median residual, sigma, fmask, fsat, background ( Skymapper_0805312263_2014-05-21T21:55:49_17_red ): -0.23486328125 45.8733295719 0.256736397743 0.00184977054596 2042.38586426
Median residual, sigma, fmask, fsat, background ( Skymapper_0805312289_2014-05-22T00:14:49_17_red ): -1.85882568359 40.7510875631 0.222218513489 0.00184035301208 1874.01672363
Median residual, sigma, fmask, fsat, background ( Skymapper_0805312776_2014-05-21T22:01:09_17_red ): -2.02661132812 44.3427280032 0.221794366837 0.00182950496674 2059.28173828
Median residual, sigma, fmask, fsat, background ( Skymapper_0805312802_2014-05-22T00:20:09_17_red ): -1.83923339844 40.2036548228 0.219356298447 0.00171661376953 1844.64660645
Median residual, sigma, fmask, fsat, background ( Skymapper_0805313289_2014-05-21T22:06:29_17_red ): -1.73852539062 41.7674433463 0.210739731789 0.00174629688263 1867.88354492
Median residual, sigma, fmask, fsat, background ( Skymapper_0805313802_2014-05-21T22:11:50_17_red ): -2.08117675781 41.3078109491 0.215321302414 0.00186765193939 1871.92248535
Median residual, sigma, fmask, fsat, background ( Skymapper_0805314339_2014-05-22T00:25:30_17_red ): -1.87084960938 40.6083115013 0.218534350395 0.00179898738861 1863.98876953
Median residual, sigma, fmask, fsat, background ( Skymapper_0805314852_2014-05-22T00:30:50_17_red ): -1.99926757812 41.3545050608 0.22324192524 0.00181758403778 1911.41601562
Median residual, sigma, fmask, fsat, background ( Skymapper_0805315339_2014-05-21T22:17:11_17_red ): -1.80615234375 41.2126438243 0.214593410492 0.00177049636841 1839.48022461
Median residual, sigma, fmask, fsat, background ( Skymapper_0805315365_2014-05-22T00:36:10_17_red ): -2.16491699219 42.9580267248 0.221597790718 0.00173664093018 2013.78564453
Median residual, sigma, fmask, fsat, background ( Skymapper_0805315852_2014-05-21T22:22:31_17_red ): -1.85302734375 40.3517770087 0.217749834061 0.0019052028656 1787.20788574
Median residual, sigma, fmask, fsat, background ( Skymapper_0805315878_2014-05-22T00:41:31_17_red ): -1.40563964844 44.6657211077 0.254237055779 0.00178110599518 2081.06030273
Median residual, sigma, fmask, fsat, background ( Skymapper_0805316365_2014-05-21T22:27:52_17_red ): -1.61975097656 40.1744291053 0.226939797401 0.00181341171265 1755.37353516
Median residual, sigma, fmask, fsat, background ( Skymapper_0805316391_2014-05-22T00:46:51_17_red ): -1.0185546875 44.7844393078 0.261615395546 0.00195324420929 2108.52172852
Median residual, sigma, fmask, fsat, background ( Skymapper_0805316878_2014-05-21T22:33:12_17_red ): -1.28051757812 39.5602828933 0.259439826012 0.00176894664764 1682.93603516
Median residual, sigma, fmask, fsat, background ( Skymapper_0805316904_2014-05-22T00:52:11_17_red ): -2.09802246094 42.5897325958 0.212067008018 0.0018138885498 1982.6394043
Median residual, sigma, fmask, fsat, background ( Skymapper_0805317391_2014-05-21T22:38:33_17_red ): -1.18908691406 39.5993233229 0.253490567207 0.00199723243713 1698.20654297
Median residual, sigma, fmask, fsat, background ( Skymapper_0805317417_2014-05-22T00:57:32_17_red ): -2.32739257812 41.4807245264 0.210205197334 0.00176358222961 1893.27880859
Median residual, sigma, fmask, fsat, background ( Skymapper_0805317904_2014-05-21T22:43:53_17_red ): -1.82971191406 40.4489569606 0.222369670868 0.00180494785309 1813.57592773
Median residual, sigma, fmask, fsat, background ( Skymapper_0805317930_2014-05-22T01:02:52_17_red ): -1.77905273438 40.7082015424 0.209719657898 0.00176203250885 1850.70788574
Median residual, sigma, fmask, fsat, background ( Skymapper_0805318417_2014-05-21T22:49:13_17_red ): -1.806640625 42.0332709935 0.207062721252 0.00180459022522 1952.24768066
